,Filim_adi,Filim_il,Filim_reytingi
0,Shoushenkden Qacish,(1994),9.2
1,The Godfather,(1972),9.2
2,The Dark Knight,(2008),9.0
3,The Godfather Part II,(1974),9.0
4,12 Angry Men,(1957),9.0
5,Shindlerin Siyahisi,(1993),8.9
6,The Lord of the Rings: The Return of the King,(2003),8.9
7,Kriminal Qirayet,(1994),8.8
8,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8
9,"Il buono, il brutto, il cattivo",(1966),8.8
10,Forrest Qamp,(1994),8.8
11,Döyüshçü Klubu,(1999),8.7
12,The Lord of the Rings: The Two Towers,(2002),8.7
13,Inception,(2010),8.7
14,The Empire Strikes Back,(1980),8.7
15,The Matrix,(1999),8.7
16,GoodFellas,(1990),8.7
17,One Flew Over the Cuckoo's Nest,(1975),8.6
18,Yeddi,(1995),8.6
19,Shichinin no samurai,(1954),8.6
20,It's a Wonderful Life,(1946),8.6
21,The Silence of the Lambs,(1991),8.6
22,Tanrinin Sheheri,(2002),8.6
23,Saving Private Ryan,(1998),8.6
24,Ulduzlararasi,(2014),8.6
25,La vita è bella,(1997),8.6
26,The Green Mile,(1999),8.6
27,Star Wars,(1977),8.5
28,Terminator 2: Judgment Day,(1991),8.5
29,Back to the Future,(1985),8.5
30,Ruhlarin Qaçisi,(2001),8.5
31,Pianoçu,(2002),8.5
32,Psycho,(1960),8.5
33,Gisaengchung,(2019),8.5
34,Léon,(1994),8.5
35,The Lion King,(1994),8.5
36,Gladiator,(2000),8.5
37,American History X,(1998),8.5
38,The Departed,(2006),8.5
39,Shübheli Shexsler,(1995),8.5
40,The Prestige,(2006),8.5
41,Mükemmellik Axtarisinda,(2014),8.5
42,Casablanca,(1942),8.5
43,Hotaru no haka,(1988),8.5
44,Seppuku,(1962),8.5
45,The Intouchables,(2011),8.5
46,Modern Times,(1936),8.4
47,Once Upon a Time in the West,(1968),8.4
48,Rear Window,(1954),8.4
49,Nuovo Cinema Paradiso,(1988),8.4
50,Alien,(1979),8.4
51,City Lights,(1931),8.4
52,Apocalypse Now,(1979),8.4
53,Memento,(2000),8.4
54,Zencirsiz Canqo,(2012),8.4
55,Raiders of the Lost Ark,(1981),8.4
56,WALL·E,(2008),8.4
57,The Lives of Others,(2006),8.4
58,Sunset Blvd.,(1950),8.4
59,Paths of Glory,(1957),8.4
60,The Shining,(1980),8.4
61,The Great Dictator,(1940),8.4
62,Avengers: Infinity War,(2018),8.4
63,Witness for the Prosecution,(1957),8.4
64,Aliens,(1986),8.3
65,Spider-Man: Into the Spider-Verse,(2018),8.3
66,American Beauty,(1999),8.3
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.3
68,The Dark Knight Rises,(2012),8.3
69,Oldeuboi,(2003),8.3
70,Serefsiz Alçaqlar,(2009),8.3
71,Amadeus,(1984),8.3
72,Məni xatırla,(2017),8.3
73,Toy Story,(1995),8.3
74,Joker,(2019),8.3
75,Braveheart,(1995),8.3
76,Das Boot,(1981),8.3
77,Avengers: Endgame,(2019),8.3
78,Mononoke-hime,(1997),8.3
79,Once Upon a Time in America,(1984),8.3
80,Good Will Hunting,(1997),8.3
81,Kimi no na wa.,(2016),8.3
82,3 Idiots,(2009),8.3
83,Singin' in the Rain,(1952),8.3
84,Requiem for a Dream,(2000),8.3
85,Tengoku to jigoku,(1963),8.3
86,Toy Story 3,(2010),8.3
87,Capharnaüm,(2018),8.3
88,Star Wars: Episode VI - Return of the Jedi,(1983),8.3
89,Silinmish yaddashin ebedi pariltisi,(2004),8.3
90,2001: A Space Odyssey,(1968),8.3
91,Rengli Itler,(1992),8.3
92,Idi i smotri,(1985),8.3
93,Jagten,(2012),8.3
94,Citizen Kane,(1941),8.3
95,M - Eine Stadt sucht einen Mörder,(1931),8.3
96,Lawrence of Arabia,(1962),8.2
97,North by Northwest,(1959),8.2
98,Vertigo,(1958),8.2
99,Ikiru,(1952),8.2
100,The Apartment,(1960),8.2
101,Le fabuleux destin d'Amélie Poulain,(2001),8.2
102,A Clockwork Orange,(1971),8.2
103,Double Indemnity,(1944),8.2
104,Full Metal Jacket,(1987),8.2
105,Scarface,(1983),8.2
106,Hamilton,(2020),8.2
107,Top Gun: Maverick,(2022),8.2
108,Incendies,(2010),8.2
109,To Kill a Mockingbird,(1962),8.2
110,Heat,(1995),8.2
111,The Sting,(1973),8.2
112,Up,(2009),8.2
113,Jodaeiye Nader az Simin,(2011),8.2
114,Metropolis,(1927),8.2
115,Taxi Driver,(1976),8.2
116,L.A. Confidential,(1997),8.2
117,Die Hard,(1988),8.2
118,Snatch,(2000),8.2
119,Indiana Jones and the Last Crusade,(1989),8.2
120,Ladri di biciclette,(1948),8.2
121,Taare Zameen Par,(2007),8.2
122,1917,(2019),8.2
123,Der Untergang,(2004),8.2
124,Dangal,(2016),8.2
125,Per qualche dollaro in più,(1965),8.2
126,Batman Begins,(2005),8.2
127,The Kid,(1921),8.2
128,Some Like It Hot,(1959),8.2
129,The Father,(2020),8.2
130,All About Eve,(1950),8.2
131,The Wolf of Wall Street,(2013),8.2
132,Green Book,(2018),8.2
133,Judgment at Nuremberg,(1961),8.2
134,Ran,(1985),8.2
135,Casino,(1995),8.2
136,Pan's Labyrinth,(2006),8.2
137,The Truman Show,(1998),8.2
138,There Will Be Blood,(2007),8.2
139,Unforgiven,(1992),8.2
140,The Sixth Sense,(1999),8.2
141,Shutter Island,(2010),8.2
142,A Beautiful Mind,(2001),8.2
143,Jurassic Park,(1993),8.1
144,Yôjinbô,(1961),8.1
145,The Treasure of the Sierra Madre,(1948),8.1
146,Monty Python and the Holy Grail,(1975),8.1
147,The Great Escape,(1963),8.1
148,No Country for Old Men,(2007),8.1
149,Bili Öldürmek: Bölüm 1,(2003),8.1
150,Rashômon,(1950),8.1
151,Spider-Man: No Way Home,(2021),8.1
152,The Thing,(1982),8.1
153,Finding Nemo,(2003),8.1
154,The Elephant Man,(1980),8.1
155,Chinatown,(1974),8.1
156,Raging Bull,(1980),8.1
157,Vendetta üçün V,(2005),8.1
158,Gone with the Wind,(1939),8.1
159,"Lock, Stock and Two Smoking Barrels",(1998),8.1
160,Tərsinə,(2015),8.1
161,Dial M for Murder,(1954),8.1
162,El secreto de sus ojos,(2009),8.1
163,Hauru no ugoku shiro,(2004),8.1
164,"Three Billboards Outside Ebbing, Missouri",(2017),8.1
165,The Bridge on the River Kwai,(1957),8.1
166,Trainspotting,(1996),8.1
167,Esirler,(2013),8.1
168,Warrior,(2011),8.1
169,Fargo,(1996),8.1
170,Gran Torino,(2008),8.1
171,Tonari no Totoro,(1988),8.1
172,Catch Me If You Can,(2002),8.1
173,Million Dollar Baby,(2004),8.1
174,Bacheha-Ye aseman,(1997),8.1
175,Blade Runner,(1982),8.1
176,The Gold Rush,(1925),8.1
177,Before Sunrise,(1995),8.1
178,Klaus,(2019),8.1
179,12 Years a Slave,(2013),8.1
180,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1
181,On the Waterfront,(1954),8.1
182,Ben-Hur,(1959),8.1
183,Böyük Budapesht Oteli,(2014),8.1
184,Itmis Qiz,(2014),8.1
185,Smultronstället,(1957),8.1
186,The General,(1926),8.1
187,The Third Man,(1949),8.1
188,In the Name of the Father,(1993),8.1
189,The Deer Hunter,(1978),8.1
190,Barry Lyndon,(1975),8.1
191,Hacksaw Ridge,(2016),8.1
192,Le salaire de la peur,(1953),8.1
193,Salinui chueok,(2003),8.1
194,Sherlock Jr.,(1924),8.1
195,Relatos salvajes,(2014),8.1
196,Mr. Smith Goes to Washington,(1939),8.1
197,Mad Max: Fury Road,(2015),8.1
198,Det sjunde inseglet,(1957),8.1
199,Mary and Max.,(2009),8.1
200,How to Train Your Dragon,(2010),8.1
201,Room,(2015),8.1
202,"Monsters, Inc.",(2001),8.1
203,Jaws,(1975),8.1
204,Dead Poets Society,(1989),8.1
205,The Big Lebowski,(1998),8.1
206,Tôkyô monogatari,(1953),8.1
207,La passion de Jeanne d'Arc,(1928),8.1
208,Hotel Rwanda,(2004),8.0
209,Ford v Ferrari,(2019),8.0
210,Rocky,(1976),8.0
211,Platoon,(1986),8.0
212,Ratatouille,(2007),8.0
213,Spotlight,(2015),8.0
214,The Terminator,(1984),8.0
215,Logan,(2017),8.0
216,Stand by Me,(1986),8.0
217,Rush,(2013),8.0
218,Network,(1976),8.0
219,Before Sunset,(2004),8.0
220,Into the Wild,(2007),8.0
221,The Wizard of Oz,(1939),8.0
222,Pather Panchali,(1955),8.0
223,Groundhog Day,(1993),8.0
224,The Best Years of Our Lives,(1946),8.0
225,The Exorcist,(1973),8.0
226,To Be or Not to Be,(1942),8.0
227,The Incredibles,(2004),8.0
228,La haine,(1995),8.0
229,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0
230,La battaglia di Algeri,(1966),8.0
231,Jai Bhim,(2021),8.0
232,The Grapes of Wrath,(1940),8.0
233,Hachi: A Dog's Tale,(2009),8.0
234,Atam ve Oghlum,(2005),8.0
235,Amores perros,(2000),8.0
236,Rebecca,(1940),8.0
237,Cool Hand Luke,(1967),8.0
238,Ah-ga-ssi,(2016),8.0
239,Les quatre cents coups,(1959),8.0
240,The Sound of Music,(1965),8.0
241,It Happened One Night,(1934),8.0
242,Persona,(1966),8.0
243,Life of Brian,(1979),8.0
244,The Iron Giant,(1999),8.0
245,Dersu Uzala,(1975),8.0
246,The Help,(2011),8.0
247,Aladdin,(1992),8.0
248,Gandhi,(1982),8.0
249,Dances with Wolves,(1990),8.0
